Date,Expiry Date,Option Type,Strike Price,Open Price,High Price,Low Price,Close Price,Last Price,Settlement Price,Volume,Value  (₹ Lakhs) ,Premium Value  (₹ Lakhs) ,Open Interest,Change in OI
20-Oct-2025,28-Oct-2025,XX,"-","25,880.20","25,969.50","25,833.00","25,915.10","25,930.20","25,915.10",5486475,"1,42,13,59,87,815.00","1,42,13,59,87,815.00",17353425,635025
20-Oct-2025,30-Dec-2025,XX,"-","26,151.00","26,252.00","26,125.00","26,206.60","26,223.20","26,206.60",284250,"7,44,56,96,002.50","7,44,56,96,002.50",525075,36975
20-Oct-2025,25-Nov-2025,XX,"-","26,000.00","26,093.70","25,964.00","26,046.30","26,060.70","26,046.30",1040175,"27,08,29,12,275.00","27,08,29,12,275.00",2728650,376350
17-Oct-2025,25-Nov-2025,XX,"-","25,750.50","25,975.00","25,720.00","25,892.40","25,880.10","25,892.40",950700,"24,59,73,25,117.50","24,59,73,25,117.50",2352300,171375
17-Oct-2025,28-Oct-2025,XX,"-","25,621.80","25,849.00","25,592.00","25,757.80","25,751.20","25,757.80",7692150,"1,97,95,28,91,142.50","1,97,95,28,91,142.50",16718400,-1038525
17-Oct-2025,30-Dec-2025,XX,"-","25,900.00","26,136.30","25,880.30","26,051.00","26,047.20","26,051.00",398250,"10,36,54,51,207.50","10,36,54,51,207.50",488100,84150
16-Oct-2025,30-Dec-2025,XX,"-","25,760.00","25,980.00","25,760.00","25,943.10","25,931.60","25,943.10",204975,"5,30,41,07,422.50","5,30,41,07,422.50",403950,47925
16-Oct-2025,25-Nov-2025,XX,"-","25,598.80","25,825.40","25,598.80","25,786.40","25,775.00","25,786.40",907725,"23,35,25,97,210.00","23,35,25,97,210.00",2180925,260475
16-Oct-2025,28-Oct-2025,XX,"-","25,462.00","25,699.40","25,460.00","25,656.10","25,648.40","25,656.10",6273900,"1,60,58,10,80,010.00","1,60,58,10,80,010.00",17756925,-174825
15-Oct-2025,30-Dec-2025,XX,"-","25,485.00","25,742.90","25,485.00","25,713.60","25,721.00","25,713.60",197325,"5,06,80,07,445.00","5,06,80,07,445.00",356025,-5025
15-Oct-2025,25-Nov-2025,XX,"-","25,346.10","25,588.00","25,346.10","25,548.60","25,562.70","25,548.60",932700,"23,79,07,87,740.00","23,79,07,87,740.00",1920450,460200
15-Oct-2025,28-Oct-2025,XX,"-","25,261.00","25,460.00","25,250.00","25,424.80","25,435.00","25,424.80",5783925,"1,46,81,93,51,100.00","1,46,81,93,51,100.00",17931750,158100
14-Oct-2025,30-Dec-2025,XX,"-","25,611.90","25,668.70","25,430.00","25,503.40","25,485.00","25,503.40",163725,"4,18,01,34,900.00","4,18,01,34,900.00",361050,37725
14-Oct-2025,25-Nov-2025,XX,"-","25,452.90","25,505.00","25,263.00","25,334.90","25,314.20","25,334.90",547575,"13,88,88,99,652.50","13,88,88,99,652.50",1460250,131550
14-Oct-2025,28-Oct-2025,XX,"-","25,378.10","25,378.10","25,123.20","25,206.00","25,185.50","25,206.00",6856050,"1,73,00,92,48,665.00","1,73,00,92,48,665.00",17773650,526425
13-Oct-2025,25-Nov-2025,XX,"-","25,454.30","25,477.90","25,370.00","25,446.00","25,452.00","25,446.00",405750,"10,31,26,07,782.50","10,31,26,07,782.50",1328700,83325
13-Oct-2025,30-Dec-2025,XX,"-","25,610.00","25,635.00","25,538.00","25,607.30","25,612.00","25,607.30",123900,"3,16,98,19,215.00","3,16,98,19,215.00",323325,37725
13-Oct-2025,28-Oct-2025,XX,"-","25,340.00","25,345.10","25,230.30","25,309.30","25,321.90","25,309.30",5403150,"1,36,64,69,62,147.50","1,36,64,69,62,147.50",17247225,-41850
10-Oct-2025,30-Dec-2025,XX,"-","25,561.30","25,745.00","25,560.20","25,701.90","25,702.00","25,701.90",135825,"3,48,82,75,635.00","3,48,82,75,635.00",285600,26325
10-Oct-2025,25-Nov-2025,XX,"-","25,401.30","25,585.00","25,395.00","25,540.10","25,543.30","25,540.10",403125,"10,29,01,36,342.50","10,29,01,36,342.50",1245375,98325
10-Oct-2025,28-Oct-2025,XX,"-","25,250.00","25,464.30","25,250.00","25,411.00","25,415.00","25,411.00",4421850,"1,12,29,80,57,655.00","1,12,29,80,57,655.00",17289075,-221100
09-Oct-2025,28-Oct-2025,XX,"-","25,150.00","25,291.00","25,124.00","25,273.80","25,280.00","25,273.80",5046225,"1,27,30,19,26,972.50","1,27,30,19,26,972.50",17510175,-189375
09-Oct-2025,30-Dec-2025,XX,"-","25,425.80","25,573.90","25,418.00","25,561.40","25,565.10","25,561.40",110175,"2,81,19,75,787.50","2,81,19,75,787.50",259275,-4950
09-Oct-2025,25-Nov-2025,XX,"-","25,265.80","25,418.40","25,253.70","25,403.00","25,408.00","25,403.00",247650,"6,27,98,50,597.50","6,27,98,50,597.50",1147050,11250
08-Oct-2025,28-Oct-2025,XX,"-","25,206.90","25,289.80","25,085.00","25,120.40","25,112.50","25,120.40",5525850,"1,39,08,24,68,130.00","1,39,08,24,68,130.00",17699550,-317925
08-Oct-2025,25-Nov-2025,XX,"-","25,365.10","25,415.00","25,222.00","25,247.70","25,252.50","25,247.70",323400,"8,18,36,45,130.00","8,18,36,45,130.00",1135800,29850
08-Oct-2025,30-Dec-2025,XX,"-","25,519.60","25,569.90","25,380.00","25,406.60","25,402.40","25,406.60",125850,"3,20,45,67,915.00","3,20,45,67,915.00",264225,23400
07-Oct-2025,30-Dec-2025,XX,"-","25,472.60","25,596.00","25,466.00","25,514.50","25,519.60","25,514.50",144225,"3,68,37,28,702.50","3,68,37,28,702.50",240825,43650
07-Oct-2025,28-Oct-2025,XX,"-","25,198.00","25,318.00","25,180.00","25,225.30","25,229.00","25,225.30",4835025,"1,22,08,71,05,085.00","1,22,08,71,05,085.00",18017475,-278925
07-Oct-2025,25-Nov-2025,XX,"-","25,334.90","25,439.80","25,306.60","25,356.10","25,361.00","25,356.10",328275,"8,33,10,94,710.00","8,33,10,94,710.00",1105950,4575
06-Oct-2025,28-Oct-2025,XX,"-","24,990.00","25,199.10","24,973.20","25,185.40","25,181.10","25,185.40",5519850,"1,38,58,16,62,597.50","1,38,58,16,62,597.50",18296400,280950
06-Oct-2025,25-Nov-2025,XX,"-","25,137.50","25,325.00","25,103.00","25,314.20","25,302.30","25,314.20",347700,"8,77,57,79,902.50","8,77,57,79,902.50",1101375,31425
06-Oct-2025,30-Dec-2025,XX,"-","25,290.70","25,481.20","25,258.30","25,472.50","25,468.00","25,472.50",120375,"3,05,68,80,247.50","3,05,68,80,247.50",197175,35100
03-Oct-2025,25-Nov-2025,XX,"-","25,083.60","25,146.90","25,012.00","25,137.40","25,142.00","25,137.40",251850,"6,31,60,25,025.00","6,31,60,25,025.00",1069950,12900
03-Oct-2025,30-Dec-2025,XX,"-","25,259.00","25,298.00","25,170.00","25,290.70","25,292.80","25,290.70",89625,"2,26,10,34,907.50","2,26,10,34,907.50",162075,28275
